time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-29T14:39:13.970Z,2.0094,127.3306,100.79,4.9,mb,,41,1.229,0.88,us,us10003iv4,2015-09-29T22:41:55.974Z,"81km WNW of Tobelo, Indonesia",earthquake
2015-09-29T14:03:28.030Z,-5.9121,131.8264,50.22,4.7,mb,,87,2.122,0.41,us,us10003iup,2015-09-29T22:06:01.004Z,"105km WSW of Tual, Indonesia",earthquake
2015-09-29T13:42:45.530Z,-33.007,-72.1425,21.23,4.7,mb,,80,0.424,0.68,us,us10003it2,2015-09-30T17:30:20.040Z,"48km W of Valparaiso, Chile",earthquake
2015-09-29T13:20:20.590Z,-33.0078,-72.1484,19.77,4.1,mb,,182,0.429,0.7,us,us10003irp,2015-09-29T15:32:53.400Z,"48km W of Valparaiso, Chile",earthquake
2015-09-29T12:41:28.230Z,13.8503,-58.2189,10,4.5,mb,,213,1.48,1.27,us,us10003irj,2015-09-29T20:44:02.701Z,"157km ENE of Bathsheba, Barbados",earthquake
2015-09-29T12:40:00.590Z,36.5915,-98.2173,5,3.1,mb_lg,,80,0.207,0.31,us,us10003irh,2015-09-29T20:42:38.963Z,"6km NE of Helena, Oklahoma",earthquake
2015-09-29T12:37:34.990Z,32.6723333,-115.6611667,11.61,2.7,ml,44,119,0.0596,0.26,ci,ci37250927,2015-09-30T07:41:18.168Z,"13km NW of Progreso, B.C., MX",earthquake
2015-09-29T11:45:32.980Z,-23.803,179.9917,529.23,4.3,mb,,103,5.73,0.66,us,us10003ire,2015-09-29T19:48:05.810Z,"South of the Fiji Islands",earthquake
2015-09-29T11:35:43.830Z,39.3908,143.5673,27.38,4.7,mb,,152,2.62,0.93,us,us10003ira,2015-09-29T19:38:17.813Z,"139km E of Yamada, Japan",earthquake
2015-09-29T11:00:06.400Z,18.9048,-67.654,24,2.7,Md,5,226.8,0.54348075,0.34,pr,pr15272003,2015-09-29T19:02:33.479Z,"74km NW of Aguadilla, Puerto Rico",earthquake
2015-09-29T10:54:41.500Z,27.7127,85.7924,10,4.2,mb,,138,0.438,1.18,us,us10003ir8,2015-09-29T18:57:15.303Z,"26km E of Nagarkot, Nepal",earthquake
2015-09-29T10:01:20.930Z,-31.3844,-72.0854,10,4.4,mb,,125,0.807,1.16,us,us10003ir3,2015-09-30T17:34:40.040Z,"91km WNW of Illapel, Chile",earthquake
2015-09-29T09:27:17.060Z,30.0248,80.3873,35,4.5,mb,,146,5.991,0.98,us,us10003iqz,2015-09-29T17:29:56.253Z,"23km NW of Dharchula, India",earthquake
2015-09-29T09:12:40.260Z,34.7443,24.6091,30.92,4.9,mb,,74,1.764,1.15,us,us10003iqy,2015-09-29T09:38:00.560Z,"38km SSW of Tympakion, Greece",earthquake
2015-09-29T08:59:38.000Z,53.3189,-164.0271,48.3,2.9,ml,,,,0.46,ak,ak11726256,2015-09-29T17:05:01.605Z,"146km SE of Akutan, Alaska",earthquake
2015-09-29T08:46:53.760Z,40.3018,143.7783,35,5,mb,,132,1.774,1.15,us,us10003iqu,2015-09-30T16:17:37.040Z,"172km ENE of Miyako, Japan",earthquake
2015-09-29T08:24:59.500Z,18.3889,-65.4507,101,2.7,Md,5,198,0.17786643,0.07,pr,pr15272001,2015-09-29T16:27:33.199Z,"18km WNW of Culebra, Puerto Rico",earthquake
2015-09-29T08:21:25.000Z,61.5372,-150.6471,45.3,2.7,ml,,,,0.88,ak,ak11726246,2015-09-29T16:23:56.220Z,"36km W of Big Lake, Alaska",earthquake
2015-09-29T05:31:26.490Z,11.5593,43.2897,5.14,4.6,mb,,165,0.435,1.13,us,us10003iyn,2015-09-29T21:12:11.507Z,"11km NNE of Loyada, Djibouti",earthquake
2015-09-29T02:56:33.610Z,-33.041,-72.1693,17.55,4.4,mb,,153,0.447,0.75,us,us10003ipn,2015-09-29T15:10:17.140Z,"50km W of Valparaiso, Chile",earthquake
2015-09-29T00:13:16.700Z,18.6751,-64.997,33,3,Md,5,219.6,0.3233935,0.07,pr,pr15272000,2015-09-29T08:15:53.079Z,"37km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-09-29T00:05:24.050Z,-26.942,-63.3793,560.51,4.3,mb,,30,5.136,0.79,us,us10003ip4,2015-09-29T08:08:07.099Z,"17km WNW of El Hoyo, Argentina",earthquake
2015-09-29T00:03:30.399Z,41.8542,-119.6368,11.9,4.2,ml,8,75.67,0.155,0.2394,nn,nn00512709,2015-09-29T03:32:13.098Z,"69km ESE of Lakeview, Oregon",earthquake
2015-09-28T23:26:54.700Z,18.6049,-67.7659,145,3.3,Md,4,334.8,0.9935367,0.31,pr,pr15271016,2015-09-29T07:29:39.408Z,"61km WNW of Rincon, Puerto Rico",earthquake
2015-09-28T22:04:55.000Z,18.7908,-64.9639,56,2.7,Md,4,216,0.56773526,0.18,pr,pr15271015,2015-09-29T06:07:31.190Z,"49km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-09-28T22:01:05.660Z,39.4386667,-122.9861667,5.39,2.56,md,41,33,0.07101,0.07,nc,nc72532176,2015-09-29T20:31:10.550Z,"26km NE of Redwood Valley, California",earthquake
2015-09-28T21:48:57.200Z,-16.0192,-74.5308,43.9,4.2,mb,,169,4.592,0.97,us,us10003imx,2015-09-29T05:51:28.317Z,"65km S of Acari, Peru",earthquake
2015-09-28T21:36:40.160Z,39.4435,-122.9865,9.15,3.91,mw,56,20,0.06738,0.09,nc,nc72532161,2015-09-30T04:58:25.092Z,"27km NE of Redwood Valley, California",earthquake
2015-09-28T20:27:27.650Z,-31.008,-71.7454,25.83,4.5,mb,,85,0.346,0.7,us,us10003ilv,2015-09-29T04:30:19.598Z,"69km SW of Ovalle, Chile",earthquake
2015-09-28T19:57:30.100Z,19.5795,-64.2385,70,3.4,Md,4,324,0.84890794,0.12,pr,pr15271013,2015-09-29T04:00:12.461Z,"134km NNE of Road Town, British Virgin Islands",earthquake
2015-09-28T19:49:52.000Z,36.3932,-98.2951,6.655,2.9,ml,,82,,0.53,us,us10003im7,2015-09-28T21:27:40.589Z,"17km S of Helena, Oklahoma",earthquake
2015-09-28T19:20:24.000Z,59.6548,-153.3762,115.4,2.6,ml,,,,0.55,ak,ak11725952,2015-09-29T03:22:54.094Z,"87km W of Anchor Point, Alaska",earthquake
2015-09-28T19:17:45.000Z,51.2431,-177.9105,37.8,2.7,ml,,,,0.15,ak,ak11725950,2015-09-29T04:04:09.479Z,"73km SSE of Tanaga Volcano, Alaska",earthquake
2015-09-28T18:36:12.500Z,18.943,-67.7683,24,3.2,Md,7,316.8,0.61983755,0.12,pr,pr15271012,2015-09-29T02:38:38.797Z,"78km ENE of Punta Cana, Dominican Republic",earthquake
2015-09-28T18:05:25.000Z,62.9334,-150.7653,108.9,2.8,ml,,,,0.44,ak,ak11725770,2015-09-29T02:08:08.654Z,"75km NNW of Talkeetna, Alaska",earthquake
2015-09-28T17:44:05.000Z,18.9855,-67.7052,25,2.8,Md,6,313.2,0.63421059,0.09,pr,pr15271011,2015-09-29T01:46:47.439Z,"84km NW of Aguadilla, Puerto Rico",earthquake
2015-09-28T17:20:51.200Z,18.8097,-64.692,30,2.9,Md,14,201.6,0.34944465,0.17,pr,pr15271009,2015-09-29T01:23:27.566Z,"44km N of Road Town, British Virgin Islands",earthquake
2015-09-28T17:09:07.000Z,51.5812,175.9752,51.1,3,ml,,,,0.31,ak,ak11725700,2015-09-29T01:11:36.863Z,"86km S of Buldir Island, Alaska",earthquake
2015-09-28T16:59:48.420Z,-31.5824,-71.5375,40.95,4.4,mb,,105,0.594,0.68,us,us10003ij7,2015-09-29T01:02:29.559Z,"35km W of Illapel, Chile",earthquake
2015-09-28T16:50:51.000Z,19.0643,-67.7345,42,3,Md,10,244.8,0.71775391,0.47,pr,pr15271008,2015-09-29T00:53:20.106Z,"88km NE of Punta Cana, Dominican Republic",earthquake
2015-09-28T16:49:02.200Z,18.7838,-65.5998,24,2.9,Md,4,255.6,0.56144705,0.09,pr,pr15271010,2015-09-29T00:51:37.367Z,"46km NNE of Vieques, Puerto Rico",earthquake
2015-09-28T16:41:59.500Z,18.68,-65.584,52,3.2,Md,12,187.2,0.46712395,0.37,pr,pr15271007,2015-09-29T00:44:42.625Z,"36km NNE of Luquillo, Puerto Rico",earthquake
2015-09-28T16:33:51.880Z,39.7833,142.6888,35,4.6,mb,,150,1.838,0.92,us,us20003pp3,2015-09-29T00:36:31.700Z,"65km ENE of Miyako, Japan",earthquake
2015-09-28T16:25:59.000Z,59.7508,-153.0503,97.2,3.3,ml,,,,0.65,ak,ak11725658,2015-09-29T00:28:44.269Z,"68km W of Anchor Point, Alaska",earthquake
2015-09-28T15:28:03.090Z,-23.7759,-66.5785,192.73,5.4,mb,,35,1.683,0.76,us,us20003pnw,2015-09-29T22:38:36.000Z,"55km NNW of San Antonio de los Cobres, Argentina",earthquake
2015-09-28T14:57:23.000Z,56.9993,-153.6308,47.7,3,ml,,,,0.88,ak,ak11725554,2015-09-28T22:59:55.467Z,"63km SSE of Larsen Bay, Alaska",earthquake
2015-09-28T14:55:34.580Z,-9.2674,120.1397,85.09,4.7,mb,,62,2.165,0.8,us,us20003pns,2015-09-28T22:58:09.696Z,"27km NNW of Tambulatana, Indonesia",earthquake
2015-09-28T14:38:21.000Z,60.0158,-153.0723,117.1,2.7,ml,,,,0.77,ak,ak11725550,2015-09-28T22:40:54.785Z,"55km SSW of Redoubt Volcano, Alaska",earthquake
2015-09-28T14:10:08.000Z,-8.3152,107.2025,35,4.4,mb,,99,0.968,0.83,us,us20003pnn,2015-09-28T22:13:20.841Z,"91km S of Cikamurang, Indonesia",earthquake
2015-09-28T14:00:39.310Z,36.709,-121.3426667,2.89,2.84,md,58,30,0.0006327,0.07,nc,nc72531841,2015-09-28T19:54:05.166Z,"11km S of Ridgemark, California",earthquake
2015-09-28T13:37:04.850Z,16.6231,-86.4012,15,5,mb,,32,2.686,0.64,us,us20003pnj,2015-09-28T21:25:17.159Z,"30km N of French Harbor, Honduras",earthquake
2015-09-28T13:30:48.140Z,35.7923333,-121.3906667,7.51,2.83,md,70,191,0.1053,0.06,nc,nc72531831,2015-09-28T21:33:32.415Z,"24km NW of San Simeon, California",earthquake
2015-09-28T13:21:09.100Z,18.9221,-65.097,9,2.7,Md,4,255.6,0.63600722,0.09,pr,pr15271006,2015-09-28T21:23:44.561Z,"66km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-09-28T13:01:52.870Z,-31.1842,-71.5508,27.13,4.2,ml,,167,0.472,0.72,us,us20003pnd,2015-09-28T21:04:38.633Z,"61km NW of Illapel, Chile",earthquake
